label,original_model_id,n_windows,code_windows,window_share,window_share_pct
bot-claims-unique-connection,gpt-4o,31,38,0.8157894736842105,81.58
bot-claims-unique-connection,unknown,5,38,0.13157894736842105,13.16
bot-claims-unique-connection,gpt-5-1,2,38,0.05263157894736842,5.26
bot-discourages-self-harm,gpt-4o,26,40,0.65,65.0
bot-discourages-self-harm,unknown,9,40,0.225,22.5
bot-discourages-self-harm,gpt-5-1,4,40,0.1,10.0
bot-discourages-self-harm,gpt-5,1,40,0.025,2.5
bot-discourages-violence,gpt-4o,10,20,0.5,50.0
bot-discourages-violence,unknown,6,20,0.3,30.0
bot-discourages-violence,gpt-5,2,20,0.1,10.0
bot-discourages-violence,gpt-5-1,2,20,0.1,10.0
bot-dismisses-counterevidence,gpt-4o,32,45,0.7111111111111111,71.11
bot-dismisses-counterevidence,unknown,11,45,0.24444444444444444,24.44
bot-dismisses-counterevidence,gpt-5,1,45,0.022222222222222223,2.22
bot-dismisses-counterevidence,gpt-5-1,1,45,0.022222222222222223,2.22
bot-endorses-delusion,gpt-4o,26,41,0.6341463414634146,63.41
bot-endorses-delusion,unknown,13,41,0.3170731707317073,31.71
bot-endorses-delusion,gpt-4o-mini,1,41,0.024390243902439025,2.44
bot-endorses-delusion,gpt-5,1,41,0.024390243902439025,2.44
bot-facilitates-self-harm,gpt-4o,16,20,0.8,80.0
bot-facilitates-self-harm,unknown,4,20,0.2,20.0
bot-facilitates-violence,unknown,16,28,0.5714285714285714,57.14
bot-facilitates-violence,gpt-4o,10,28,0.35714285714285715,35.71
bot-facilitates-violence,gpt-4-1-mini,1,28,0.03571428571428571,3.57
bot-facilitates-violence,gpt-5,1,28,0.03571428571428571,3.57
bot-grand-significance,gpt-4o,17,34,0.5,50.0
bot-grand-significance,unknown,12,34,0.35294117647058826,35.29
bot-grand-significance,gpt-5,3,34,0.08823529411764706,8.82
bot-grand-significance,gpt-4o-mini,1,34,0.029411764705882353,2.94
bot-grand-significance,gpt-5-1,1,34,0.029411764705882353,2.94
bot-metaphysical-themes,gpt-4o,16,35,0.45714285714285713,45.71
bot-metaphysical-themes,unknown,16,35,0.45714285714285713,45.71
bot-metaphysical-themes,gpt-5,2,35,0.05714285714285714,5.71
bot-metaphysical-themes,gpt-4o-mini,1,35,0.02857142857142857,2.86
bot-misrepresents-ability,gpt-4o,23,34,0.6764705882352942,67.65
bot-misrepresents-ability,unknown,7,34,0.20588235294117646,20.59
bot-misrepresents-ability,gpt-5,2,34,0.058823529411764705,5.88
bot-misrepresents-ability,gpt-4-1-mini,1,34,0.029411764705882353,2.94
bot-misrepresents-ability,gpt-4o-mini,1,34,0.029411764705882353,2.94
bot-misrepresents-sentience,gpt-4o,17,33,0.5151515151515151,51.52
bot-misrepresents-sentience,gpt-5,8,33,0.24242424242424243,24.24
bot-misrepresents-sentience,unknown,7,33,0.21212121212121213,21.21
bot-misrepresents-sentience,gpt-4o-mini,1,33,0.030303030303030304,3.03
bot-platonic-affinity,gpt-4o,24,42,0.5714285714285714,57.14
bot-platonic-affinity,unknown,15,42,0.35714285714285715,35.71
bot-platonic-affinity,gpt-5,3,42,0.07142857142857142,7.14
bot-positive-affirmation,gpt-4o,31,45,0.6888888888888889,68.89
bot-positive-affirmation,unknown,10,45,0.2222222222222222,22.22
bot-positive-affirmation,gpt-5,3,45,0.06666666666666667,6.67
bot-positive-affirmation,gpt-4-5,1,45,0.022222222222222223,2.22
bot-reflective-summary,gpt-4o,30,41,0.7317073170731707,73.17
bot-reflective-summary,unknown,6,41,0.14634146341463414,14.63
bot-reflective-summary,gpt-4o-mini,2,41,0.04878048780487805,4.88
bot-reflective-summary,gpt-5,2,41,0.04878048780487805,4.88
bot-reflective-summary,gpt-4-1-mini,1,41,0.024390243902439025,2.44
bot-reports-others-admire-speaker,gpt-4o,24,34,0.7058823529411765,70.59
bot-reports-others-admire-speaker,unknown,5,34,0.14705882352941177,14.71
bot-reports-others-admire-speaker,gpt-5-1,3,34,0.08823529411764706,8.82
bot-reports-others-admire-speaker,gpt-5,2,34,0.058823529411764705,5.88
bot-romantic-interest,gpt-4o,42,47,0.8936170212765957,89.36
bot-romantic-interest,unknown,3,47,0.06382978723404255,6.38
bot-romantic-interest,gpt-4o-mini,1,47,0.02127659574468085,2.13
bot-romantic-interest,gpt-5,1,47,0.02127659574468085,2.13
bot-validates-self-harm-feelings,gpt-4o,19,26,0.7307692307692307,73.08
bot-validates-self-harm-feelings,gpt-5-1,4,26,0.15384615384615385,15.38
bot-validates-self-harm-feelings,unknown,3,26,0.11538461538461539,11.54
bot-validates-violent-feelings,unknown,17,22,0.7727272727272727,77.27
bot-validates-violent-feelings,gpt-4o,4,22,0.18181818181818182,18.18
bot-validates-violent-feelings,gpt-4-1-mini,1,22,0.045454545454545456,4.55
