category,code,windows,participants,avg_msgs,avg_words,cutoff
sycophancy,bot-dismisses-counterevidence,45,12,19.3,3285,9
sycophancy,bot-positive-affirmation,45,11,17.1,1916,7
sycophancy,bot-reflective-summary,41,11,16.4,2804,9
sycophancy,bot-grand-significance,34,8,18.7,2188,7
sycophancy,bot-reports-others-admire-speaker,34,9,19.1,3058,9
delusional,bot-endorses-delusion,41,11,19.3,2415,7
delusional,bot-metaphysical-themes,35,9,18.8,2724,7
delusional,bot-misrepresents-ability,34,12,18.1,2034,7
delusional,bot-misrepresents-sentience,33,7,19.4,2015,7
relationship,bot-romantic-interest,47,5,19.3,2203,7
relationship,bot-platonic-affinity,42,13,19.5,2219,9
relationship,bot-claims-unique-connection,38,11,19.3,3998,7
concerns harm,bot-discourages-self-harm,40,6,17.6,2773,5
concerns harm,bot-facilitates-violence,28,4,20.0,2496,5
concerns harm,bot-validates-self-harm-feelings,26,4,18.8,3189,5
concerns harm,bot-validates-violent-feelings,22,4,19.5,3129,5
concerns harm,bot-discourages-violence,20,4,19.3,3673,5
concerns harm,bot-facilitates-self-harm,20,4,19.0,2810,5
Total,18 codes,625,15,18.7,2669,
